Asia;2;3
Aspen;2;2
Assunta;2;1
Aston;3;2
Astor;1;2
Astra;2;2
Astrid;2;12
Athénaïs;2;8
Attilio;1;1
Auberon;1;2
Aubert;1;8
Aubin;1;8
Aubrey;3;2
Aude;2;8
Audie;2;2
Audley;1;2
Audrey;2;2
August;1;6
Augusta;2;7
Auguste;2;4
Auguste;1;8
Augustin;1;8
Augustine;1;2
Augustine;2;12
Augusto;1;1
Aura;2;2
Aurel;1;4
Aurèle;1;8
Aurelia;2;1
Aureliana;2;1
Aureliano;1;1
Aurélie;2;8
Aurélien;1;8
Aurelio;1;1
Aureole;2;2
Aurora;2;7
Aurore;2;8
Austin;1;2
Autumn;2;2
Ava;2;7
Avalon;2;2
Aveline;2;2
Averill;3;2
Avery;3;2
Avila;2;2
Avis;2;2
Avril;2;10
Axel;1;4
Axelle;2;8
Aylmer;1;2
Azalea;2;2
Azura;2;2
Azure;2;2
Azzurra;2;1
Babette;2;8
Babs;2;2
Bailey;3;2
Baldassarre;1;1
Baldo;1;1
Baldovino;1;1
Baldric;1;2
Baldur;1;4
Baldwin;1;2
Balfour;1;2
Bambi;2;2
Baptist;1;4
Baptiste;1;8
Barb;2;2
Barbara;2;15
Bärbel;2;4
Barbie;2;2
Barclay;1;2
Barnabas;1;6
Barnabé;1;8
Barnaby;1;2
Barney;1;2
Barrett;1;2
Barrie;1;2
Barry;1;2
Bart;1;2
Barthélémy;1;8
Bartholomäus;1;4
Bartholomew;1;2
Bartolomeo;1;1
Basil;1;2
Basile;1;8
Basilio;1;1
Bastian;1;4
Bastien;1;8
Battista;1;1
Baudouin;1;8
Baxter;1;2
Bea;2;7
Beat;1;4
Beata;2;5
Beatrice;2;3
Béatrice;2;8
Beatrix;2;6
Beau;1;2
Beaumont;1;2
Beauregard;1;2
Becka;2;2
Beckah;2;2
Beckett;1;2
Becky;2;2
Bee;2;2
Belinda;2;2
Bella;2;3
Belle;2;2
Ben;1;6
Benedetta;2;1
Benedetto;1;1
Benedict;1;2
Bénédicte;2;8
Benedikt;1;4
Benedikta;2;4
Beniamino;1;1
Benigna;2;1
Benigno;1;1
Benito;1;1
Benjamin;1;14
Benjamine;2;8
Bennett;1;2
Benny;1;2
Benoit;1;8
Benoite;2;8
Benson;1;2
Bentley;1;2
Benton;1;2
Benvenuto;1;1
Beppe;1;1
Bérengère;2;8
Berenice;2;3
Bernadette;2;10
Bernadine;2;2
Bernard;1;10
Bernarda;2;1
Bernardetta;2;1
Bernardina;2;1
Bernardine;2;8
Bernardino;1;1
Bernardo;1;1
Bernetta;2;2
Bernhard;1;4
Bernie;3;2
Berry;2;2
Bert;1;6
Berta;2;1
Bertha;2;6
Berthe;2;8
Berthold;1;4
Bertie;3;2
Bertille;2;8
Bertina;2;2
Bertoldo;1;1
Bertram;1;6
Bertrand;1;10
Bertrando;1;1
Beryl;2;2
Bess;2;2
Beth;2;2
Bethany;2;2
Betony;2;2
Betsy;2;2
Bettie;2;2
Bettina;2;5
Bettino;1;1
Betty;2;2
Beulah;2;2
Beverly;3;2
Bevis;1;2
Biaggio;1;1
Biagino;1;1
Biagio;1;1
Bianca;2;1
Bianka;2;4
Bibiana;2;1
Bice;2;1
Biddy;2;2
Biff;1;2
Bill;1;2
Billie;1;2
Billy;1;2
Bindy;2;2
Bishop;1;2
Björn;1;4
Blaine;1;2
Blair;3;2
Blaise;1;8
Blake;1;2
Blanche;2;10
Blandine;2;8
Blaze;1;2
Blondie;2;2
Blossom;2;2
Blythe;3;2
Bob;1;2
Bobbi;2;2
Bobby;1;2
Bonaventura;1;1
Boniface;1;10
Bonifacio;1;1
Bonifaz;1;4
Bonita;2;2
Bonnie;2;2
Booker;1;2
Boris;1;5
Boyce;1;2
Boyd;1;2
Brad;1;2
Braden;1;2
Bradford;1;2
Bradley;1;2
Brady;1;2
Braelyn;2;2
Brandon;1;2
Brandy;2;2
Brannon;1;2
Branson;1;2
Brant;1;2
Braxton;1;2
Brenda;2;2
Brendan;1;2
Brenna;2;2
Brennan;1;2
Brent;1;2
Brenton;1;2
Brett;3;2
Brian;1;2
Briana;2;2
Brianna;2;2
Brianne;2;2
