Desideria,2,1,0,
Desiderio,1,1,0,
Diana,2,3,0,
Dina,2,1,0,
Dino,1,1,0,
Dionisio,1,1,0,
Domenica,2,1,0,
Domenico,1,1,0,
Domitilla,2,1,0,
Donata,2,1,0,
Donatella,2,1,0,
Donatello,1,1,0,
Donato,1,1,0,
Doriano,1,1,0,
Dorotea,2,1,0,
Duilio,1,1,0,
Durante,1,1,0,
Edda,2,1,0,
Edmonda,2,1,0,
Edmondo,1,1,0,
Edoardo,1,1,0,
Edvige,2,1,0,
Efisio,1,1,0,
Egidio,1,1,0,
Elda,2,1,0,
Elena,2,1,0,
Eleonora,2,1,0,Leonora
Elettra,2,1,0,
Eleuterio,1,1,0,
Elia,1,1,0,
Eliana,2,1,0,
Eligio,1,1,0,
Elio,1,1,0,
Elisa,2,3,0,
Elisabetta,2,1,0,
Eliseo,1,1,0,
Elmo,1,3,0,
Eloisa,2,1,0,
Elpidio,1,1,0,
Elsa,2,3,0,
Elvira,2,1,0,
Emanuela,2,1,0,
Emanuele,1,1,0,
Emidio,1,1,0,
Emilia,2,3,0,
Emiliana,2,1,0,
Emiliano,1,1,0,
Emilio,1,1,0,
Emma,2,3,0,
Enea,1,1,0,
Ennio,1,1,0,Enio
Enrica,2,1,0,
Enrico,1,1,0,
Enzo,1,1,0,
Epifanio,1,1,0,
Erasmo,1,1,0,
Ercole,1,1,0,
Erica,2,1,0,Erika
Ermanno,1,1,0,
Ermelinda,2,1,0,
Ermenegilda,2,1,0,
Ermenegildo,1,1,0,
Ermes,1,1,0,
Ermete,1,1,0,
Erminia,2,1,0,
Erminio,1,1,0,
Ernesta,2,1,0,
Ernesto,1,1,0,
Ersilia,2,1,0,
Ettore,1,1,0,
Eufemia,2,1,0,
Eugenia,2,3,0,
Eugenio,1,1,0,
Eulalia,2,3,0,
Eusebio,1,1,0,
Eustachio,1,1,0,
Eustorgio,1,1,0,
Eutimio,1,1,0,
Eva,2,3,0,
Evaristo,1,1,0,
Evelina,2,3,0,
Ezio,1,1,0,
Fabia,2,1,0,
Fabiana,2,1,0,
Fabiano,1,1,0,
Fabio,1,1,0,
Fabiola,2,1,0,
Fabrizia,2,1,0,
Fabrizio,1,1,0,
Fausta,2,1,0,
Faustina,2,1,0,
Faustino,1,1,0,
Fausto,1,1,0,
Febe,2,1,0,
Fedele,1,1,0,
Federica,2,1,0,
Federico,1,1,0,Federigo
Felice,1,1,0,
Feliciana,2,1,0,
Feliciano,1,1,0,
Felicita,2,1,0,
Ferdinanda,2,1,0,Fernanda
Ferdinando,1,1,0,Fernando
Ferruccio,1,1,0,
Fiammetta,2,1,0,
Filiberto,1,1,0,
Filippa,2,1,0,
Filippo,1,1,0,
Filomena,2,1,0,
Fina,2,1,0,
Fioralba,2,1,0,
Fiorella,2,1,0,
Fiorenza,2,1,0,
Fiorenzo,1,1,0,
Fiorino,1,1,0,
Firmino,1,1,0,
Flavia,2,1,0,
Flavio,1,1,0,
Flora,2,3,0,
Floriana,2,1,0,
Floriano,1,1,0,
Fortunata,2,1,0,
Fortunato,1,1,0,
Franca,2,1,0,
Francesca,2,1,0,
Francesco,1,1,0,
Franco,1,1,0,
Frediano,1,1,0,
Fredo,1,1,0,
Fulgenzio,1,1,0,
Fulvia,2,1,0,
Fulvio,1,1,0,
Gabriele,1,1,0,
Gabriella,2,3,0,
Gaetana,2,1,0,
Gaetano,1,1,0,
Gaia,2,1,0,
Gallo,1,1,0,
Gaspare,1,1,0,Gasparo
Gavino,1,1,0,
Geltrude,2,1,0,Gertrude
Gemma,2,3,0,
Gennaro,1,1,0,Gennarino
Genoveffa,2,1,0,
Gerardo,1,1,0,Gherardo
Germana,2,1,0,
Germano,1,1,0,
Gerolamo,1,1,0,
Geronimo,1,1,0,
Gervasio,1,1,0,
Gessica,2,1,0,Jessica Jessika
Giachetta,2,1,0,
Giacinta,2,1,0,
Giacinto,1,1,0,
Giacobbe,1,1,0,
Giacomo,1,1,0,
Giada,2,1,0,
Giambattista,1,1,0,
Giampaolo,1,1,0,Gianpaolo
Giampiero,1,1,0,Gianpiero
Giancarlo,1,1,0,
Gianfranco,1,1,0,
Gianluca,1,1,0,
Gianluigi,1,1,0,
Gianmarco,1,1,0,Giammarco
Gianmaria,1,1,0,Giammaria
Gianna,2,1,0,Giannina
Gianni,1,1,0,Gian Giannino
Gilberta,2,1,0,
Gilberto,1,1,0,
Gilda,2,1,0,
Gina,2,3,0,
Ginevra,2,1,0,
Gino,1,1,0,
Gioacchino,1,1,0,
Gioachino,1,1,0,
Gioconda,2,1,0,
Gioia,2,1,0,
Gionata,1,1,0,Jonathan
Giordano,1,1,0,
Giorgia,2,1,0,Giorgina
Giorgio,1,1,0,Giorgino
Giosetta,2,1,0,
Giosuè,1,1,0,
Giotto,1,1,0,
Giovanna,2,1,0,Giovannetta
Giovanni,1,1,0,
Giraldo,1,1,0,
Girolamo,1,1,0,
Gisella,2,1,0,
Giuditta,2,1,0,
Giulia,2,1,0,
Giuliana,2,1,0,
Giuliano,1,1,0,
Giulietta,2,1,0,
Giulio,1,1,0,
Giuseppe,1,1,0,Beppe Peppe
Giuseppina,2,1,0,Giuseppa Peppa Peppina
Giustina,2,1,0,
Giustino,1,1,0,
Glauco,1,1,0,
Gloria,2,3,0,
Goffredo,1,1,0,
Grazia,2,1,0,
Graziana,2,1,0,
Graziano,1,1,0,
Graziella,2,1,0,
Gregorio,1,1,0,
Gualtiero,1,1,0,
Guerino,1,1,0,
Guglielmo,1,1,0,
Guido,1,1,0,
Gustavo,1,1,0,
Ida,2,3,0,
Ignazio,1,1,0,
Igor,1,1,0,
Ilaria,2,1,0,
Ilario,1,1,0,
Ilda,2,1,0,
Ilenia,2,1,0,
Imelda,2,1,0,
Immacolata,2,1,0,
Ines,2,1,0,
Innocenzo,1,1,0,
Iolanda,2,1,0,Jolanda
Ippolito,1,1,0,
Irene,2,3,0,
Irma,2,3,0,
Isa,2,1,0,
Isabella,2,3,0,
Isaia,1,1,0,
Isidora,2,3,0,
Isidoro,1,1,0,
Isotta,2,1,0,
Itala,2,1,0,
Italia,2,1,0,
Italo,1,1,0,
Ivan,1,1,0,
Ivo,1,1,0,
Jacopo,1,1,0,Iacopo
Ladislao,1,1,0,
Lamberto,1,1,0,
Lapo,1,1,0,
Lara,2,3,0,
Laura,2,3,0,
Lauretta,2,1,0,
Lauro,1,1,0,
Lazzaro,1,1,0,
Leandra,2,1,0,
Leandro,1,1,0,
Lelia,2,1,0,
Lelio,1,1,0,
Lena,2,3,0,
Leonarda,2,1,0,
Leonardo,1,1,0,
Leone,1,1,0,
Leontina,2,1,0,
Leonzio,1,1,0,
Leopoldo,1,1,0,
Letizia,2,1,0,
Lia,2,1,0,
Liana,2,3,0,
Liberatore,1,1,0,
Liboria,2,1,0,
Liborio,1,1,0,
Lidia,2,1,0,
Liliana,2,3,0,
Lina,2,3,0,
Linda,2,3,0,
Lino,1,1,0,
Lisa,2,3,0,
Livia,2,1,0,
Liviana,2,1,0,
Livio,1,1,0,
Lora,2,3,0,
Loredana,2,1,0,
Lorena,2,1,0,
Lorenza,2,1,0,
Lorenzo,1,1,0,
Loretta,2,3,0,Loreta
Loris,1,1,0,
Lorita,2,1,0,
Lotario,1,1,0,
Luana,2,3,0,
Luca,1,1,0,
Luce,2,1,0,
Lucia,2,3,0,
Luciana,2,1,0,
Luciano,1,1,0,
Lucilio,1,1,0,
Lucilla,2,1,0,
Lucio,1,1,0,
Lucrezia,2,1,0,
Ludovica,2,1,0,
Ludovico,1,1,0,Lodovico
Luigi,1,1,0,Luigino
Luisa,2,1,0,Luigia Luigina Luisella
Maddalena,2,1,0,
Mafalda,2,1,0,
Manfredo,1,1,0,
Manlio,1,1,0,
Manuela,2,1,0,
Manuele,1,1,0,Manuel
Marcella,2,1,0,
